Product,"Price gross",Date
"Marine Diesel 50ppm","9789,00",2015-01-02
"Marine Diesel 50ppm","9719,00",2015-01-03
"Marine Diesel 50ppm","9719,00",2015-01-04
"Marine Diesel 50ppm","9719,00",2015-01-05
"Marine Diesel 50ppm","9719,00",2015-01-06
"Marine Diesel 50ppm","9619,00",2015-01-07
"Marine Diesel 50ppm","9569,00",2015-01-08
"Marine Diesel 50ppm","9569,00",2015-01-09
"Marine Diesel 50ppm","9569,00",2015-01-10
"Marine Diesel 50ppm","9569,00",2015-01-11
"Marine Diesel 50ppm","9569,00",2015-01-12
"Marine Diesel 50ppm","9519,00",2015-01-13
"Marine Diesel 50ppm","9469,00",2015-01-14
"Marine Diesel 50ppm","9429,00",2015-01-15
"Marine Diesel 50ppm","9469,00",2015-01-16
"Marine Diesel 50ppm","9489,00",2015-01-17
"Marine Diesel 50ppm","9489,00",2015-01-18
"Marine Diesel 50ppm","9489,00",2015-01-19
"Marine Diesel 50ppm","9569,00",2015-01-20
"Marine Diesel 50ppm","9569,00",2015-01-21
"Marine Diesel 50ppm","9569,00",2015-01-22
"Marine Diesel 50ppm","9529,00",2015-01-23
"Marine Diesel 50ppm","9569,00",2015-01-24
"Marine Diesel 50ppm","9569,00",2015-01-25
"Marine Diesel 50ppm","9569,00",2015-01-26
"Marine Diesel 50ppm","9669,00",2015-01-27
"Marine Diesel 50ppm","9669,00",2015-01-28
"Marine Diesel 50ppm","9629,00",2015-01-29
"Marine Diesel 50ppm","9629,00",2015-01-30
"Marine Diesel 50ppm","9629,00",2015-01-31
"Marine Diesel 50ppm","9629,00",2015-02-01
"Marine Diesel 50ppm","9629,00",2015-02-02
"Marine Diesel 50ppm","9669,00",2015-02-03
"Marine Diesel 50ppm","9869,00",2015-02-04
"Marine Diesel 50ppm","9969,00",2015-02-05
"Marine Diesel 50ppm","9969,00",2015-02-06
"Marine Diesel 50ppm","10019,00",2015-02-07
"Marine Diesel 50ppm","10019,00",2015-02-08
"Marine Diesel 50ppm","10019,00",2015-02-09
"Marine Diesel 50ppm","10039,00",2015-02-10
"Marine Diesel 50ppm","10209,00",2015-02-11
"Marine Diesel 50ppm","10109,00",2015-02-12
"Marine Diesel 50ppm","10059,00",2015-02-13
"Marine Diesel 50ppm","10189,00",2015-02-14
"Marine Diesel 50ppm","10189,00",2015-02-15
"Marine Diesel 50ppm","10189,00",2015-02-16
"Marine Diesel 50ppm","10339,00",2015-02-17
"Marine Diesel 50ppm","10339,00",2015-02-18
"Marine Diesel 50ppm","10269,00",2015-02-19
"Marine Diesel 50ppm","10269,00",2015-02-20
"Marine Diesel 50ppm","10239,00",2015-02-21
"Marine Diesel 50ppm","10239,00",2015-02-22
"Marine Diesel 50ppm","10239,00",2015-02-23
"Marine Diesel 50ppm","10369,00",2015-02-24
"Marine Diesel 50ppm","10329,00",2015-02-25
"Marine Diesel 50ppm","10329,00",2015-02-26
"Marine Diesel 50ppm","10329,00",2015-02-27
"Marine Diesel 50ppm","10369,00",2015-02-28
"Marine Diesel 50ppm","10369,00",2015-03-01
"Marine Diesel 50ppm","10369,00",2015-03-02
"Marine Diesel 50ppm","10419,00",2015-03-03
"Marine Diesel 50ppm","10369,00",2015-03-04
"Marine Diesel 50ppm","10369,00",2015-03-05
"Marine Diesel 50ppm","10329,00",2015-03-06
"Marine Diesel 50ppm","10369,00",2015-03-07
"Marine Diesel 50ppm","10369,00",2015-03-08
"Marine Diesel 50ppm","10369,00",2015-03-09
"Marine Diesel 50ppm","10419,00",2015-03-10
"Marine Diesel 50ppm","10419,00",2015-03-11
"Marine Diesel 50ppm","10369,00",2015-03-12
"Marine Diesel 50ppm","10369,00",2015-03-13
"Marine Diesel 50ppm","10329,00",2015-03-14
"Marine Diesel 50ppm","10329,00",2015-03-15
"Marine Diesel 50ppm","10329,00",2015-03-16
"Marine Diesel 50ppm","10269,00",2015-03-17
"Marine Diesel 50ppm","10169,00",2015-03-18
"Marine Diesel 50ppm","10129,00",2015-03-19
"Marine Diesel 50ppm","10229,00",2015-03-20
"Marine Diesel 50ppm","10169,00",2015-03-21
"Marine Diesel 50ppm","10169,00",2015-03-22
"Marine Diesel 50ppm","10169,00",2015-03-23
"Marine Diesel 50ppm","10169,00",2015-03-24
"Marine Diesel 50ppm","10169,00",2015-03-25
"Marine Diesel 50ppm","10129,00",2015-03-26
"Marine Diesel 50ppm","10169,00",2015-03-27
"Marine Diesel 50ppm","10269,00",2015-03-28
"Marine Diesel 50ppm","10269,00",2015-03-29
"Marine Diesel 50ppm","10269,00",2015-03-30
"Marine Diesel 50ppm","10269,00",2015-03-31
"Marine Diesel 50ppm","10169,00",2015-04-01
"Marine Diesel 50ppm","10169,00",2015-04-02
"Marine Diesel 50ppm","10169,00",2015-04-03
"Marine Diesel 50ppm","10069,00",2015-04-04
"Marine Diesel 50ppm","10069,00",2015-04-05
"Marine Diesel 50ppm","10069,00",2015-04-06
"Marine Diesel 50ppm","10069,00",2015-04-07
"Marine Diesel 50ppm","10069,00",2015-04-08
"Marine Diesel 50ppm","10069,00",2015-04-09
"Marine Diesel 50ppm","10069,00",2015-04-10
"Marine Diesel 50ppm","10069,00",2015-04-11
"Marine Diesel 50ppm","10069,00",2015-04-12
"Marine Diesel 50ppm","10069,00",2015-04-13
"Marine Diesel 50ppm","10269,00",2015-04-14
"Marine Diesel 50ppm","10329,00",2015-04-15
"Marine Diesel 50ppm","10369,00",2015-04-16
"Marine Diesel 50ppm","10429,00",2015-04-17
"Marine Diesel 50ppm","10469,00",2015-04-18
"Marine Diesel 50ppm","10469,00",2015-04-19
"Marine Diesel 50ppm","10469,00",2015-04-20
"Marine Diesel 50ppm","10429,00",2015-04-21
"Marine Diesel 50ppm","10469,00",2015-04-22
"Marine Diesel 50ppm","10429,00",2015-04-23
"Marine Diesel 50ppm","10409,00",2015-04-24
"Marine Diesel 50ppm","10549,00",2015-04-25
"Marine Diesel 50ppm","10549,00",2015-04-26
"Marine Diesel 50ppm","10549,00",2015-04-27
"Marine Diesel 50ppm","10549,00",2015-04-28
"Marine Diesel 50ppm","10469,00",2015-04-29
"Marine Diesel 50ppm","10469,00",2015-04-30
"Marine Diesel 50ppm","10519,00",2015-05-01
"Marine Diesel 50ppm","10419,00",2015-05-02
"Marine Diesel 50ppm","10419,00",2015-05-03
"Marine Diesel 50ppm","10419,00",2015-05-04
"Marine Diesel 50ppm","10419,00",2015-05-05
"Marine Diesel 50ppm","10469,00",2015-05-06
"Marine Diesel 50ppm","10629,00",2015-05-07
"Marine Diesel 50ppm","10569,00",2015-05-08
"Marine Diesel 50ppm","10469,00",2015-05-09
"Marine Diesel 50ppm","10469,00",2015-05-10
"Marine Diesel 50ppm","10469,00",2015-05-11
"Marine Diesel 50ppm","10429,00",2015-05-12
"Marine Diesel 50ppm","10429,00",2015-05-13
"Marine Diesel 50ppm","10529,00",2015-05-14
"Marine Diesel 50ppm","10529,00",2015-05-15
"Marine Diesel 50ppm","10569,00",2015-05-16
"Marine Diesel 50ppm","10569,00",2015-05-17
"Marine Diesel 50ppm","10569,00",2015-05-18
"Marine Diesel 50ppm","10529,00",2015-05-19
"Marine Diesel 50ppm","10469,00",2015-05-20
"Marine Diesel 50ppm","10429,00",2015-05-21
"Marine Diesel 50ppm","10429,00",2015-05-22
"Marine Diesel 50ppm","10569,00",2015-05-23
"Marine Diesel 50ppm","10569,00",2015-05-24
"Marine Diesel 50ppm","10569,00",2015-05-25
"Marine Diesel 50ppm","10569,00",2015-05-26
"Marine Diesel 50ppm","10469,00",2015-05-27
"Marine Diesel 50ppm","10429,00",2015-05-28
"Marine Diesel 50ppm","10399,00",2015-05-29
"Marine Diesel 50ppm","10369,00",2015-05-30
"Marine Diesel 50ppm","10369,00",2015-05-31
"Marine Diesel 50ppm","10369,00",2015-06-01
"Marine Diesel 50ppm","10489,00",2015-06-02
"Marine Diesel 50ppm","10489,00",2015-06-03
"Marine Diesel 50ppm","10489,00",2015-06-04
"Marine Diesel 50ppm","10269,00",2015-06-06
"Marine Diesel 50ppm","10269,00",2015-06-08
